code,entry_date,sell_date,held_days,strategy,exit_reason,qty,sell_price,pnl,fee
US.WF,2022-01-10,2022-01-28,18,atr_breakout,STRAT_EXIT,273,4097.9219303400005,32857.14,2203.49
US.MDLZ,2022-01-21,2022-01-28,7,atr_breakout,STOP_LOSS,42,8053.605114960999,-18140.96,694.31
US.CSCO,2022-01-24,2022-01-28,4,boll_mr,STOP_LOSS,21,6688.78473382,-7533.33,288.32
US.BKR,2022-01-25,2022-01-28,3,atr_breakout,STOP_LOSS,117,3348.063685211,-21008.75,804.06
US.CMCSA,2022-04-25,2022-04-28,3,boll_mr,STOP_LOSS,12,4716.93646102,-5499.74,118.65
US.REGN,2022-03-14,2022-05-02,49,atr_breakout,ATR_TRAIL,1,89320.8888121177,-1913.03,180.47
US.VRSK,2022-03-18,2022-05-04,47,atr_breakout,STOP_LOSS,23,26307.490587,-46595.94,1256.14
US.CTAS,2022-03-16,2022-05-05,50,atr_breakout,ATR_TRAIL,40,12948.358114576238,-6350.5,1041.7
US.SPY,2022-04-27,2022-05-10,13,boll_mr,STOP_LOSS,1,52380.255701389004,-2809.24,107.52
US.XEL,2022-04-06,2022-05-20,44,atr_breakout,STRAT_EXIT,76,9044.304087980001,-7818.5,1381.87
US.KDP,2022-07-26,2022-09-27,63,atr_breakout,ATR_TRAIL,36,4509.99650094,-5127.49,329.68
US.CEG,2022-09-08,2022-10-13,35,atr_breakout,STOP_LOSS,53,11083.741119401999,-31505.24,1205.79
