ATR_TRAIL_MULT,总收益%,年化收益%,Sharpe,最大回撤%,Calmar,交易数,胜率%
3.0,76.09,5.04,0.493,-22.79,0.221,1841,29.0
3.5,107.62,6.56,0.596,-23.79,0.276,1649,27.5
4.0,82.78,5.39,0.504,-22.63,0.238,1668,26.8
4.5,119.79,7.09,0.632,-22.39,0.317,1479,26.2
5.0,129.37,7.49,0.651,-22.47,0.333,1444,24.9
5.5,180.49,9.39,0.762,-21.6,0.435,1318,24.5
6.0,171.02,9.06,0.716,-20.11,0.451,1361,23.0
6.5,217.37,10.57,0.755,-22.6,0.468,1374,22.4
7.0,279.38,12.3,0.856,-25.0,0.492,1217,23.7
8.0,256.74,11.7,0.892,-21.27,0.55,1086,23.3
9.0,264.57,11.91,0.815,-22.65,0.526,1199,22.0
10.0,261.09,11.82,0.841,-18.16,0.651,1116,22.1
