,equity_jpy
2015-01-02,6998251.963085169
2015-01-05,6972410.701525069
2015-01-06,6949136.452711728
2015-01-07,6971212.762244489
2015-01-08,7004412.793636428
2015-01-09,6992775.669239068
2015-01-12,6974464.311715029
2015-01-13,6973950.909176849
2015-01-14,6964367.3949508285
2015-01-15,6941948.817046869
2015-01-16,6961971.516408289
2015-01-20,6975662.250995608
2015-01-21,6984561.228479229
2015-01-22,7016905.588961788
2015-01-23,7020841.675156109
2015-01-26,7018788.064966149
2015-01-27,6972581.835710669
2015-01-28,6963682.858227048
2015-01-29,6980282.873913709
2015-01-30,6966763.273511989
2015-02-02,6981729.845264938
2015-02-03,6999076.133386338
2015-02-04,6998158.992189898
2015-02-05,7016888.692109598
2015-02-06,7004573.536605898
2015-02-09,6998675.056768158
2015-02-10,7026114.676524518
2015-02-11,7033403.946824858
2015-02-12,7057720.836090758
2015-02-13,7074768.624343638
2015-02-17,7075840.923663758
2015-02-18,7078344.032161018
2015-02-19,7086295.8194576185
2015-02-20,7100053.952276492
2015-02-23,7101936.428280851
2015-02-24,7103305.501728411
2015-02-25,7098684.878810311
2015-02-26,7108097.258850731
2015-02-27,7099882.818090891
2015-03-02,7116653.967963152
2015-03-03,7107926.124665131
2015-03-04,7100738.489000271
2015-03-05,7103990.038470811
2015-03-06,7082940.53403303
2015-03-09,7088058.443082768
2015-03-10,7050992.830022347
2015-03-11,7037498.18536392
2015-03-12,7049327.61872442
2015-03-13,7039835.283250679
2015-03-16,7061694.497009621
2015-03-17,7095381.63401276
2015-03-18,7145251.05846614
2015-03-19,7163393.50187502
2015-03-20,7183341.3118219795
2015-03-23,7144011.2691397
2015-03-24,7117272.292227879
2015-03-25,6952598.860367039
2015-03-26,6928926.846856718
2015-03-27,6966306.790629498
2015-03-30,7032591.955471943
2015-03-31,6952201.319899983
2015-04-01,6906388.093101282
2015-04-02,6907506.026957602
2015-04-06,6923617.8586092945
2015-04-07,6920099.602216724
2015-04-08,6964978.450617963
2015-04-09,6993386.358096544
2015-04-10,7021244.195252924
2015-04-13,6991420.718910096
2015-04-14,6975752.479460094
2015-04-15,6991393.178451215
2015-04-16,7068595.538705395
2015-04-17,6996268.477146905
2015-04-20,7045927.768758836
2015-04-21,7066516.629191676
2015-04-22,7091531.504514312
2015-04-23,7127410.211692816
2015-04-24,7163592.325858636
2015-04-27,7135475.254198616
2015-04-28,7103325.027745502
2015-04-29,7098896.2978770025
2015-04-30,7011337.358887568
2015-05-01,7033179.520252444
2015-05-04,7042864.929473156
2015-05-05,6976687.803237785
2015-05-06,6951644.90289121
2015-05-07,6925507.997934805
2015-05-08,6969547.708313519
2015-05-11,6971330.098460959
2015-05-12,6962606.548488899
2015-05-13,6961433.718531808
2015-05-14,7002398.257195529
2015-05-15,7024974.034452733
2015-05-18,7032591.980947074
2015-05-19,7020055.660853924
2015-05-20,7014748.791801824
2015-05-21,7030004.453691175
2015-05-22,7021523.0257875975
2015-05-26,6996758.619509627
2015-05-27,7045158.318466876
2015-05-28,7036438.404112256
2015-05-29,7065784.822300056
2015-06-01,7068395.831718416
2015-06-02,7050305.460762696
2015-06-03,7049395.799917596
2015-06-04,7022368.753556243
2015-06-05,7049936.305582145
2015-06-08,6983293.603219545
2015-06-09,6633084.541704925
2015-06-10,7061326.150376889
2015-06-11,7047228.309195689
2015-06-12,7028609.298839869
2015-06-15,7006313.190214322
2015-06-16,7038315.436114983
2015-06-17,7058659.426452843
2015-06-18,7118189.706031122
2015-06-19,7090898.134080542
2015-06-22,7135781.713163123
2015-06-23,7139330.167837642
2015-06-24,7093229.9210286625
2015-06-25,7077586.218897263
2015-06-26,7032750.759794422
2015-06-29,6923092.293785113
2015-06-30,6959278.556398821
2015-07-01,6977994.928696381
2015-07-02,6979668.284625662
2015-07-06,6958157.4345466215
2015-07-07,6966404.120714871
2015-07-08,6909255.650763571
2015-07-09,6917394.332700971
2015-07-10,6972008.451562651
2015-07-13,7035893.637056431
