date,code,side,qty,price,pnl,reason,strategy,entry_date,fee
2015-01-02,US.QQQ,BUY,133,13143.13469798,,QQQ_BETA_FLOOR,core_etf,,
2015-02-02,US.PKX,BUY,13,7172.023119240001,,SIGNAL,boll_mr,,
2015-02-09,US.CDNS,BUY,38,2402.4,,SIGNAL,boll_mr,,
2015-02-13,US.CDNS,SELL,38,2522.7999999999997,4479.33,STRAT_EXIT,boll_mr,2015-02-09,187.16
2015-02-20,US.PKX,SELL,13,7479.255089740001,3896.79,STRAT_EXIT,boll_mr,2015-02-02,190.47
2015-03-09,US.MDLZ,BUY,25,3781.8156857599997,,SIGNAL,boll_mr,,
2015-03-09,US.AMD,BUY,226,410.20000000000005,,SIGNAL,boll_mr,,
2015-03-11,US.GILD,BUY,9,9509.483849740001,,SIGNAL,boll_mr,,
2015-03-12,US.AMD,SELL,226,386.4,-5466.13,STOP_LOSS,boll_mr,2015-03-09,180.03
2015-03-16,US.REGN,BUY,16,62729.688695799996,,SIGNAL,atr_breakout,,
2015-03-16,US.PAYX,BUY,161,5031.70562286,,SIGNAL,atr_breakout,,
2015-03-16,US.CTAS,BUY,183,2656.79838186,,SIGNAL,atr_breakout,,
2015-03-16,US.ORLY,BUY,207,2007.18000994,,SIGNAL,atr_breakout,,
2015-03-16,US.AMGN,BUY,21,16469.8866409,,SIGNAL,atr_breakout,,
2015-03-16,US.INTU,BUY,23,12694.207030819998,,SIGNAL,atr_breakout,,
2015-03-16,US.VRTX,BUY,4,17882.2,,SIGNAL,atr_breakout,,
2015-03-17,US.WF,BUY,111,2962.00401532,,SIGNAL,atr_breakout,,
2015-03-24,US.WF,SELL,111,2796.4866251000003,-18682.84,STOP_LOSS,atr_breakout,2015-03-17,639.19
2015-03-24,US.META,BUY,6,11839.43167582,,SIGNAL,atr_breakout,,
2015-03-25,US.VRTX,SELL,4,16609.6,-5156.84,STOP_LOSS,atr_breakout,2015-03-16,137.97
