,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,0.42,9.84,-9.42,50209.66,131.0,22.9,0.094,0.113,-11.24,0.037,0.32,0.492,-4.43
2016,21.24,7.22,14.02,60872.08,139.0,19.4,1.442,2.023,-8.89,2.411,0.73,0.567,17.3
2017,19.87,32.79,-12.92,72965.3,85.0,30.6,1.813,2.091,-4.97,4.045,6.49,0.777,-5.71
2018,-1.46,-0.13,-1.33,71902.6,119.0,11.8,-0.033,-0.041,-19.98,-0.073,1.33,0.498,-1.4
2019,30.59,39.16,-8.57,93897.55,68.0,35.3,2.259,3.187,-5.7,5.382,1.75,0.591,7.46
2020,54.82,48.65,6.17,145369.81,47.0,23.4,1.774,2.389,-19.9,2.755,1.73,0.587,26.24
2021,5.18,27.42,-22.24,152897.39,41.0,26.8,0.376,0.487,-15.45,0.338,11.46,0.815,-17.34
2022,-11.17,-32.58,21.41,135823.6,116.0,11.2,-1.625,-2.22,-16.21,-0.694,0.63,0.139,-6.71
2023,3.75,54.86,-51.11,140913.13,92.0,18.5,0.579,0.822,-8.32,0.455,1.51,0.268,-11.09
2024,19.52,25.75,-6.23,168421.76,34.0,20.6,1.616,2.339,-7.7,2.535,2.59,0.521,6.09
2025,21.37,20.77,0.6,204409.8,49.0,14.3,1.219,1.622,-12.06,1.777,3.58,0.539,10.21
2026,34.62,16.27,18.34,275168.27,20.0,20.0,2.045,2.948,-11.56,7.05,0.56,1.154,40.76
全期汇总,450.34,659.06,-208.72,275168.27,941.0,20.3,1.025,1.272,-19.98,0.8,2.14,0.501,6.33
