,trades,total_pnl,win_rate_%,mean_pct_return_%,avg_holding_days
Correction -> Bull,2.0,23264.03,50.0,121.37,317.5
Bear -> Correction,4.0,17882.42,25.0,115.42,137.2
Correction -> Correction,5.0,13778.19,20.0,67.24,113.0
Bear -> Sideways,8.0,2960.95,37.5,5.64,57.9
Bull -> Correction,5.0,851.95,40.0,2.78,38.2
Bear -> Bull,6.0,401.42,16.7,3.54,26.5
Correction -> Bear,2.0,310.8,50.0,2.72,93.0
Sideways -> Bull,1.0,-3.23,0.0,-0.1,24.0
Bull -> Sideways,2.0,-79.43,0.0,-0.62,19.5
Sideways -> Sideways,5.0,-104.67,0.0,-0.83,17.6
Correction -> Sideways,3.0,-233.85,33.3,1.3,38.7
Bull -> Bull,4.0,-385.52,25.0,-4.53,3.2
Bear -> Bear,6.0,-621.32,0.0,-1.83,15.2
Sideways -> Correction,3.0,-941.71,0.0,-4.13,10.0
