code,entry_date,sell_date,strategy,exit_reason,pnl,return_pct
US.CDNS,2015-02-09,2015-02-13,boll_mr,STRAT_EXIT,4479.33,4.9
US.PKX,2015-02-02,2015-02-20,boll_mr,STRAT_EXIT,3896.79,4.18
US.AMD,2015-03-09,2015-03-12,boll_mr,STOP_LOSS,-5466.13,-5.89
US.VRTX,2015-03-16,2015-03-25,atr_breakout,STOP_LOSS,-5156.84,-7.2
US.META,2015-03-24,2015-04-01,atr_breakout,STOP_LOSS,-3619.31,-5.09
US.KEP,2015-04-01,2015-04-07,atr_breakout,STRAT_EXIT,-780.21,-0.97
US.WDAY,2015-04-06,2015-04-13,atr_breakout,STRAT_EXIT,-1290.92,-1.49
US.GILD,2015-03-11,2015-04-17,boll_mr,STRAT_EXIT,1996.4,2.33
US.ISRG,2015-04-20,2015-04-22,atr_breakout,STOP_LOSS,-7394.5,-6.61
US.VRSK,2015-04-02,2015-04-23,atr_breakout,STRAT_EXIT,146.44,0.19
US.KEP,2015-04-17,2015-04-23,atr_breakout,STRAT_EXIT,-1328.66,-1.35
US.MU,2015-04-22,2015-04-30,atr_breakout,STOP_LOSS,-24622.63,-5.09
US.ORLY,2015-04-23,2015-04-30,atr_breakout,STOP_LOSS,-21496.67,-5.09
US.SHG,2015-04-23,2015-05-01,atr_breakout,STRAT_EXIT,-1138.89,-0.34
US.BKNG,2015-05-04,2015-05-07,atr_breakout,STOP_LOSS,-5665.75,-5.09
US.ADP,2015-05-08,2015-05-13,atr_breakout,STRAT_EXIT,-1966.16,-1.29
US.MDLZ,2015-03-09,2015-05-15,boll_mr,TAKE_PROFIT,14073.08,14.87
US.INTU,2015-05-08,2015-05-15,atr_breakout,STRAT_EXIT,-802.69,-0.51
US.NXPI,2015-05-08,2015-05-15,atr_breakout,STRAT_EXIT,-1849.03,-1.31
US.QCOM,2015-05-15,2015-05-19,atr_breakout,STRAT_EXIT,-2893.41,-2.12
US.META,2015-05-01,2015-05-21,boll_mr,STRAT_EXIT,1173.69,1.78
US.PEP,2015-05-15,2015-05-21,atr_breakout,STRAT_EXIT,-1554.29,-1.14
US.HON,2015-05-13,2015-05-22,atr_breakout,STRAT_EXIT,3111.72,1.99
US.TTWO,2015-05-19,2015-05-26,atr_breakout,STOP_LOSS,-31030.26,-5.09
US.ADBE,2015-05-21,2015-05-26,atr_breakout,STRAT_EXIT,-4995.51,-1.58
US.CTAS,2015-05-13,2015-06-04,atr_breakout,STRAT_EXIT,2112.17,1.3
US.AVGO,2015-05-27,2015-06-29,atr_breakout,STOP_LOSS,-31491.88,-6.69
US.AMZN,2015-04-20,2015-06-30,atr_breakout,STRAT_EXIT,12360.85,11.32
US.FTNT,2015-06-16,2015-07-06,atr_breakout,STOP_LOSS,-23373.0,-5.99
US.NXPI,2015-06-30,2015-07-07,boll_mr,STOP_LOSS,-1851.49,-5.09
US.AEP,2015-07-07,2015-07-14,atr_breakout,STRAT_EXIT,-10056.18,-1.84
US.XEL,2015-07-07,2015-07-14,atr_breakout,STRAT_EXIT,-4995.79,-1.13
US.AMAT,2015-06-30,2015-07-16,boll_mr,STOP_LOSS,-3025.72,-7.11
US.QCOM,2015-06-30,2015-07-29,boll_mr,STRAT_EXIT,339.04,0.76
US.INTU,2015-07-16,2015-07-31,atr_breakout,STRAT_EXIT,-7817.16,-2.25
US.MNST,2015-08-03,2015-08-06,atr_breakout,STOP_LOSS,-9569.84,-7.11
US.PANW,2015-05-26,2015-08-07,atr_breakout,ATR_TRAIL,5206.69,4.86
US.VRSK,2015-07-29,2015-08-12,atr_breakout,STRAT_EXIT,-7437.28,-2.45
US.EA,2015-05-06,2015-08-21,atr_breakout,ATR_TRAIL,9241.07,7.43
US.DXCM,2015-08-06,2015-08-21,atr_breakout,STOP_LOSS,-8985.33,-5.09
US.GOOGL,2015-07-14,2015-08-24,atr_breakout,ATR_TRAIL,24900.8,4.55
US.GOOG,2015-07-14,2015-08-24,atr_breakout,ATR_TRAIL,18226.39,4.18
US.MDLZ,2015-05-15,2015-08-24,atr_breakout,ATR_TRAIL,23053.79,4.1
US.NFLX,2015-04-13,2015-08-24,atr_breakout,ATR_TRAIL,151713.53,42.67
US.AEP,2015-08-12,2015-08-24,atr_breakout,STOP_LOSS,-1934.33,-5.29
US.XEL,2015-07-31,2015-08-25,atr_breakout,ATR_TRAIL,-5325.69,-4.68
US.AMD,2015-09-11,2015-09-14,atr_breakout,STOP_LOSS,-24894.4,-9.53
US.ISRG,2015-08-25,2015-09-15,boll_mr,STRAT_EXIT,3800.94,3.8
US.AVGO,2015-09-15,2015-09-18,atr_breakout,STOP_LOSS,-9982.17,-5.09
US.BKNG,2015-09-15,2015-09-18,atr_breakout,STRAT_EXIT,-3934.34,-1.94
US.KLAC,2015-09-14,2015-09-21,atr_breakout,STOP_LOSS,-14685.92,-5.91
US.ASX,2015-09-11,2015-09-23,atr_breakout,STOP_LOSS,-14251.49,-5.71
US.AMZN,2015-09-21,2015-09-24,atr_breakout,STRAT_EXIT,-4779.73,-2.76
US.META,2015-09-21,2015-09-28,atr_breakout,STOP_LOSS,-10707.05,-6.72
US.ADBE,2015-09-23,2015-09-28,atr_breakout,STOP_LOSS,-5667.78,-5.91
US.ISRG,2015-09-24,2015-09-28,boll_mr,STOP_LOSS,-2186.56,-5.72
US.SBUX,2015-09-24,2015-09-29,atr_breakout,STOP_LOSS,-4995.52,-5.09
US.TMUS,2015-05-21,2015-10-29,atr_breakout,ATR_TRAIL,9541.8,1.82
US.COST,2015-09-23,2015-11-06,atr_breakout,STRAT_EXIT,7008.09,8.22
US.AEP,2015-09-30,2015-11-06,atr_breakout,STOP_LOSS,-4722.49,-5.09
US.SNPS,2015-11-06,2015-11-12,atr_breakout,STRAT_EXIT,-1355.69,-0.89
US.ORLY,2015-10-29,2015-11-13,atr_breakout,STOP_LOSS,-14370.57,-5.93
US.XEL,2015-09-24,2015-11-27,atr_breakout,STRAT_EXIT,3506.61,3.5
US.FANG,2015-11-09,2015-12-02,atr_breakout,STOP_LOSS,-2185.73,-5.09
US.MRVL,2015-12-02,2015-12-03,atr_breakout,STOP_LOSS,-10251.86,-5.09
US.PANW,2015-11-27,2015-12-14,atr_breakout,STOP_LOSS,-3094.19,-5.09
US.KB,2015-11-16,2015-12-17,boll_mr,STOP_LOSS,-1069.8,-5.2
US.AEP,2015-12-17,2015-12-18,atr_breakout,STRAT_EXIT,-1311.09,-2.26
US.FAST,2015-12-24,2015-12-31,atr_breakout,STRAT_EXIT,-1105.69,-1.76
US.HON,2015-12-14,2015-12-31,boll_mr,STRAT_EXIT,1069.01,4.99
US.NFLX,2015-11-17,2016-01-04,atr_breakout,STOP_LOSS,-3552.48,-6.19
US.AVGO,2015-12-03,2016-01-05,atr_breakout,STOP_LOSS,-13552.4,-5.09
US.WDAY,2015-12-14,2016-01-06,boll_mr,STOP_LOSS,-1308.83,-5.91
US.EXC,2016-01-05,2016-01-07,atr_breakout,STRAT_EXIT,-1013.0,-1.27
US.TMUS,2016-01-07,2016-01-08,atr_breakout,STRAT_EXIT,-2062.74,-1.65
US.ADP,2016-01-05,2016-01-08,boll_mr,STOP_LOSS,-1406.22,-5.12
US.ALGN,2016-01-12,2016-01-13,boll_mr,STOP_LOSS,-2643.63,-5.09
US.META,2016-01-11,2016-01-14,boll_mr,STOP_LOSS,-2757.94,-5.09
US.SPY,2016-01-11,2016-01-20,boll_mr,STOP_LOSS,-2322.53,-5.09
US.MSFT,2016-01-08,2016-01-20,boll_mr,STOP_LOSS,-2928.51,-5.09
US.AEP,2016-01-19,2016-01-22,atr_breakout,STRAT_EXIT,-2625.87,-2.0
US.EA,2016-01-26,2016-01-29,atr_breakout,STOP_LOSS,-12940.12,-8.96
US.PCAR,2016-01-29,2016-02-03,atr_breakout,STOP_LOSS,-4697.19,-5.09
US.ORLY,2016-01-29,2016-02-04,atr_breakout,STOP_LOSS,-4590.47,-5.09
US.META,2016-01-28,2016-02-05,atr_breakout,STOP_LOSS,-5400.55,-5.09
US.WF,2016-02-05,2016-02-11,atr_breakout,STOP_LOSS,-4737.09,-5.3
US.XEL,2016-01-28,2016-02-11,atr_breakout,STRAT_EXIT,4197.53,3.67
US.SHG,2016-02-05,2016-02-11,atr_breakout,STOP_LOSS,-4341.28,-5.09
US.FAST,2016-02-04,2016-02-11,atr_breakout,STOP_LOSS,-14418.72,-5.09
US.ADP,2016-02-16,2016-02-24,atr_breakout,STRAT_EXIT,1704.9,1.66
US.ISRG,2016-02-09,2016-03-08,boll_mr,STRAT_EXIT,3576.03,11.28
US.PEP,2016-03-09,2016-03-18,atr_breakout,STRAT_EXIT,910.43,0.99
US.XEL,2016-03-08,2016-03-22,atr_breakout,STRAT_EXIT,960.07,1.01
US.LPL,2016-03-22,2016-03-28,atr_breakout,STOP_LOSS,-13297.08,-5.09
US.META,2016-03-28,2016-04-04,atr_breakout,STRAT_EXIT,-1042.98,-1.1
US.CSCO,2016-02-12,2016-04-21,atr_breakout,STRAT_EXIT,14814.49,13.37
US.PAYX,2016-02-12,2016-04-27,atr_breakout,STRAT_EXIT,9265.19,8.42
US.EXC,2016-01-28,2016-05-03,atr_breakout,STRAT_EXIT,27477.82,22.83
US.PKX,2016-01-29,2016-05-04,atr_breakout,ATR_TRAIL,25420.52,27.66
US.META,2016-04-28,2016-05-16,atr_breakout,STRAT_EXIT,1516.6,1.56
US.ADBE,2016-03-18,2016-05-17,atr_breakout,STRAT_EXIT,7097.37,2.58
US.CTAS,2016-05-09,2016-05-17,atr_breakout,STRAT_EXIT,-301.03,-0.31
US.PCAR,2016-02-16,2016-05-19,atr_breakout,ATR_TRAIL,3932.46,3.79
US.EA,2016-05-16,2016-05-23,atr_breakout,STOP_LOSS,-4243.07,-5.09
US.ISRG,2016-04-04,2016-05-23,atr_breakout,STRAT_EXIT,2410.99,0.96
US.HON,2016-02-16,2016-05-31,atr_breakout,STRAT_EXIT,10719.92,10.44
US.SNPS,2016-05-24,2016-06-14,atr_breakout,STRAT_EXIT,6302.22,1.83
US.VRTX,2016-05-31,2016-06-17,atr_breakout,STOP_LOSS,-10020.36,-6.98
US.DXCM,2016-06-20,2016-06-24,atr_breakout,STOP_LOSS,-18043.71,-5.09
US.ORLY,2016-06-28,2016-07-12,atr_breakout,STRAT_EXIT,1403.84,1.63
US.XEL,2016-06-14,2016-08-16,atr_breakout,ATR_TRAIL,-981.8,-2.78
US.LPL,2016-07-19,2016-09-09,atr_breakout,ATR_TRAIL,-5627.58,-2.31
US.AMD,2016-05-23,2016-09-12,atr_breakout,ATR_TRAIL,34517.01,42.92
US.NXPI,2016-09-12,2016-09-29,boll_mr,TAKE_PROFIT,3044.61,14.87
US.MELI,2016-05-18,2016-10-13,atr_breakout,ATR_TRAIL,24949.64,27.01
US.KB,2016-10-11,2016-10-17,atr_breakout,STRAT_EXIT,-1025.79,-2.04
US.AMAT,2016-05-20,2016-10-31,atr_breakout,STRAT_EXIT,129880.72,29.17
US.MDLZ,2016-10-26,2016-11-03,atr_breakout,STRAT_EXIT,-1425.09,-2.42
US.LPL,2016-11-01,2016-11-09,boll_mr,STOP_LOSS,-1806.59,-5.97
US.ROST,2016-06-28,2016-11-15,atr_breakout,STRAT_EXIT,11960.16,14.2
US.IDXX,2016-10-28,2016-11-29,boll_mr,TAKE_PROFIT,2189.14,14.87
US.NXPI,2016-09-29,2016-11-29,atr_breakout,STRAT_EXIT,6166.58,2.73
US.KLAC,2016-11-07,2016-12-01,atr_breakout,ATR_TRAIL,-167.63,-0.22
US.FANG,2016-12-01,2016-12-06,atr_breakout,STOP_LOSS,-3023.71,-5.09
US.CSCO,2016-10-14,2016-12-20,boll_mr,STRAT_EXIT,220.75,1.16
US.HON,2016-11-07,2017-01-04,atr_breakout,STRAT_EXIT,4226.61,5.69
US.AMGN,2017-01-04,2017-01-25,atr_breakout,STRAT_EXIT,2603.56,0.7
US.PAYX,2016-11-29,2017-01-30,atr_breakout,STRAT_EXIT,9144.34,2.94
US.CTAS,2016-12-06,2017-01-31,atr_breakout,STRAT_EXIT,-1150.77,-2.03
US.EA,2017-01-30,2017-02-02,atr_breakout,STRAT_EXIT,-5757.28,-1.68
US.TSLA,2016-12-20,2017-02-27,atr_breakout,ATR_TRAIL,47483.48,17.64
US.AMD,2017-02-27,2017-02-28,atr_breakout,STOP_LOSS,-24936.97,-5.09
US.FAST,2016-11-29,2017-03-13,atr_breakout,STRAT_EXIT,20928.88,9.92
US.SNPS,2017-02-02,2017-04-07,atr_breakout,STRAT_EXIT,50459.78,11.22
US.ADI,2016-11-15,2017-04-11,atr_breakout,ATR_TRAIL,42243.0,13.94
US.KLAC,2017-01-25,2017-06-09,atr_breakout,ATR_TRAIL,101578.03,20.33
US.TEAM,2017-01-18,2017-06-12,atr_breakout,ATR_TRAIL,23614.55,23.82
US.AAPL,2017-05-08,2017-06-12,atr_breakout,STOP_LOSS,-34548.48,-5.09
US.QCOM,2017-04-17,2017-06-13,boll_mr,STRAT_EXIT,5020.79,9.74
US.BKNG,2017-02-28,2017-06-30,atr_breakout,STRAT_EXIT,40416.24,8.37
US.XEL,2017-04-17,2017-07-05,atr_breakout,ATR_TRAIL,2091.84,1.63
US.LPL,2017-06-13,2017-07-10,atr_breakout,STOP_LOSS,-6982.52,-5.09
US.PEP,2017-03-21,2017-07-11,atr_breakout,ATR_TRAIL,1274.61,1.35
US.VRSK,2017-06-30,2017-07-11,atr_breakout,STRAT_EXIT,-1814.04,-1.15
US.BKNG,2017-07-07,2017-08-09,atr_breakout,ATR_TRAIL,-3506.82,-0.71
US.WF,2017-01-31,2017-08-09,atr_breakout,ATR_TRAIL,38753.11,43.52
US.AMGN,2017-06-09,2017-08-18,atr_breakout,ATR_TRAIL,10395.45,2.12
US.FTNT,2017-06-12,2017-08-29,boll_mr,STRAT_EXIT,-186.38,-0.29
US.PKX,2017-07-10,2017-09-15,atr_breakout,ATR_TRAIL,24930.16,5.69
US.XEL,2017-08-10,2017-09-22,atr_breakout,ATR_TRAIL,-2270.96,-1.91
US.MNST,2017-08-22,2017-10-19,atr_breakout,STRAT_EXIT,5157.83,1.0
US.MU,2017-08-29,2017-11-30,atr_breakout,ATR_TRAIL,32645.05,34.48
US.ADBE,2017-10-19,2017-12-04,atr_breakout,ATR_TRAIL,-8715.27,-2.01
US.TTWO,2017-07-11,2017-12-04,atr_breakout,ATR_TRAIL,32895.94,34.35
US.ASML,2017-09-07,2017-12-04,atr_breakout,ATR_TRAIL,28575.81,5.53
US.DXCM,2017-12-08,2017-12-11,atr_breakout,STOP_LOSS,-5931.67,-5.1
US.PAYX,2017-09-22,2018-02-05,atr_breakout,ATR_TRAIL,38350.19,9.51
US.CPRT,2017-12-07,2018-02-05,atr_breakout,STOP_LOSS,-6181.67,-5.09
US.HON,2017-11-30,2018-02-05,atr_breakout,STOP_LOSS,-20472.84,-5.09
US.REGN,2018-02-02,2018-02-06,boll_mr,STOP_LOSS,-2460.96,-5.09
US.FANG,2017-12-22,2018-02-06,atr_breakout,STOP_LOSS,-6156.14,-5.09
US.OKTA,2018-02-28,2018-03-01,atr_breakout,STOP_LOSS,-12779.54,-5.76
US.FANG,2018-03-05,2018-03-07,atr_breakout,STOP_LOSS,-6448.08,-5.09
US.TEAM,2018-03-02,2018-03-26,atr_breakout,STOP_LOSS,-10788.09,-5.09
US.NFLX,2018-03-02,2018-03-28,atr_breakout,STOP_LOSS,-11549.8,-5.17
US.FANG,2018-03-26,2018-03-28,atr_breakout,STOP_LOSS,-7522.39,-6.53
US.WDAY,2018-03-02,2018-03-28,atr_breakout,STOP_LOSS,-11756.01,-5.81
US.DXCM,2018-03-28,2018-04-04,atr_breakout,STOP_LOSS,-7709.92,-5.09
US.AEP,2018-03-27,2018-04-06,atr_breakout,STRAT_EXIT,62.25,0.06
US.PANW,2018-03-05,2018-04-13,atr_breakout,STRAT_EXIT,5007.31,3.84
US.VRSK,2018-04-10,2018-04-13,atr_breakout,STRAT_EXIT,-1999.28,-1.08
US.PCAR,2018-04-16,2018-04-20,atr_breakout,STRAT_EXIT,-858.4,-0.61
US.ADBE,2018-03-07,2018-04-20,atr_breakout,STRAT_EXIT,12558.33,3.76
US.HON,2018-04-20,2018-04-24,atr_breakout,STRAT_EXIT,-3913.06,-2.46
US.SHG,2018-04-24,2018-04-25,atr_breakout,STRAT_EXIT,-2183.93,-1.68
US.ASX,2018-04-13,2018-05-01,atr_breakout,STOP_LOSS,-51265.04,-27.62
US.TTWO,2018-05-01,2018-05-03,atr_breakout,STOP_LOSS,-4463.83,-5.09
US.KEP,2018-04-02,2018-05-29,atr_breakout,ATR_TRAIL,885.91,0.61
US.OKTA,2018-05-29,2018-06-07,atr_breakout,STOP_LOSS,-22194.1,-5.27
US.ZS,2018-06-07,2018-06-21,atr_breakout,STOP_LOSS,-21601.63,-6.91
US.BKR,2018-04-12,2018-07-20,atr_breakout,ATR_TRAIL,-4920.27,-2.78
