code,entry_date,exit_date,total_score,pnl,return_pct
US.PKX,2015-02-02,2015-02-20,45.75,3896.79,4.17947728192545
US.FTNT,2015-03-18,2015-03-25,42.65,-2795.9,-5.116497818639652
US.META,2015-03-24,2015-04-01,47.52,-3016.1,-5.095008075699891
US.WDAY,2015-04-06,2015-04-13,49.55,-922.09,-1.4884422921711058
US.ISRG,2015-04-20,2015-04-22,59.65,-7394.5,-6.612705780081668
US.VRSK,2015-04-02,2015-04-23,51.14,91.52,0.1902817940407221
US.KEP,2015-04-17,2015-04-23,57.16,-1172.35,-1.3487519239982375
US.BKNG,2015-05-04,2015-05-07,50.89,-5665.75,-5.094995672352159
US.ADP,2015-05-08,2015-05-13,52.16,-1966.16,-1.2894197953722133
US.INTU,2015-05-08,2015-05-15,58.25,-802.69,-0.5083484047587068
US.NXPI,2015-05-08,2015-05-15,51.7,-1849.03,-1.3105575612965945
US.QCOM,2015-05-15,2015-05-19,57.79,-2436.56,-2.124433894222077
US.PEP,2015-05-15,2015-05-21,46.84,-1221.23,-1.1374484461913197
US.HON,2015-05-13,2015-05-22,42.41,2667.18,1.993868822076989
US.AMZN,2015-04-20,2015-06-30,48.87,12051.83,11.333700658750079
US.AMAT,2015-06-30,2015-07-16,44.89,-3361.92,-7.116918397479119
US.QCOM,2015-06-30,2015-07-29,50.96,339.04,0.7613419100273502
US.PANW,2015-05-26,2015-08-07,45.29,5578.6,4.864201852035804
US.EA,2015-05-06,2015-08-21,47.55,9241.07,7.442099562275583
US.AEP,2015-08-12,2015-08-24,48.15,-3039.66,-5.294042217117333
US.XEL,2015-08-07,2015-08-25,45.27,-3285.82,-6.249878115291439
US.AMD,2015-09-11,2015-09-14,56.21,-24867.54,-9.543281740019435
US.ISRG,2015-08-25,2015-09-15,57.12,3800.94,3.8013657764137823
US.BKNG,2015-09-15,2015-09-18,54.99,-4074.86,-1.9430161607914955
US.AVGO,2015-09-15,2015-09-18,41.85,-10416.18,-5.095000198143388
US.PKX,2015-09-16,2015-09-21,50.48,-6937.16,-6.21433560929629
US.ASX,2015-09-11,2015-09-23,54.24,-14223.49,-5.719841894794517
US.ADBE,2015-09-23,2015-09-28,48.61,-6376.26,-5.918741297688666
US.ISRG,2015-09-24,2015-09-28,42.12,-2186.56,-5.723893798395414
US.SBUX,2015-09-24,2015-09-29,46.27,-4995.52,-5.095000523913196
US.COST,2015-09-23,2015-11-06,43.17,8409.71,8.225573187263606
US.AEP,2015-09-30,2015-11-06,53.9,-4722.49,-5.095002693458819
US.XEL,2015-09-24,2015-11-27,51.09,3627.53,3.501048295966558
US.PANW,2015-11-27,2015-12-14,43.12,-2652.17,-5.095008602254282
US.KB,2015-11-16,2015-12-17,43.19,-1069.8,-5.209298411192717
US.AEP,2015-12-17,2015-12-18,47.83,-1311.09,-2.265203548967727
US.HON,2015-12-14,2015-12-31,48.84,1069.01,5.000204421758493
US.FAST,2015-12-24,2015-12-31,47.75,-1086.29,-1.7605881793481881
US.NFLX,2015-11-17,2016-01-04,51.44,-3450.98,-6.191253615024148
US.WDAY,2015-12-14,2016-01-06,45.36,-1308.83,-5.916952983725135
US.EXC,2016-01-05,2016-01-07,51.82,-988.88,-1.2692275108142161
US.ALGN,2016-01-12,2016-01-13,45.52,-2643.63,-5.094995258909781
US.MSFT,2016-01-08,2016-01-20,56.3,-2928.51,-5.094999395097352
US.SPY,2016-01-11,2016-01-20,42.37,-2322.53,-5.094997968835502
US.EA,2016-01-26,2016-01-29,43.13,-12940.12,-8.9644872927118
US.PCAR,2016-01-29,2016-02-03,46.67,-4697.19,-5.095003906501317
US.ORLY,2016-01-29,2016-02-04,46.2,-4590.47,-5.095004495642674
US.META,2016-01-28,2016-02-05,54.99,-5400.55,-5.095003443189047
US.XEL,2016-01-28,2016-02-11,51.99,4057.61,3.675829311155713
US.WF,2016-02-05,2016-02-11,54.69,-4605.51,-5.308691552397089
US.SHG,2016-02-05,2016-02-11,40.06,-4341.28,-5.095001900764546
US.ADP,2016-02-16,2016-02-24,46.31,1704.9,1.6647655770061227
US.ISRG,2016-02-09,2016-03-08,53.3,3576.03,11.295361942424742
US.XEL,2016-03-08,2016-03-22,52.84,960.07,1.0132857057158047
US.META,2016-03-28,2016-04-04,47.27,-1042.98,-1.1017208031636365
US.CSCO,2016-02-12,2016-04-21,45.41,14469.96,13.380181245487899
US.PAYX,2016-02-12,2016-04-27,48.37,9265.19,8.432533919928293
US.EXC,2016-01-28,2016-05-03,58.97,27034.63,22.862340654351232
US.PKX,2016-01-29,2016-05-04,59.22,25420.52,27.69638221814528
US.META,2016-04-28,2016-05-16,45.04,1769.37,1.560296808868922
US.PCAR,2016-02-16,2016-05-19,42.84,3809.57,3.7917161392581695
US.EA,2016-05-16,2016-05-23,45.16,-4243.07,-5.094994446600959
US.HON,2016-02-16,2016-05-31,43.89,10719.92,10.448739245720832
US.ORLY,2016-06-28,2016-07-12,56.75,1362.55,1.629835911447645
US.XEL,2016-06-14,2016-08-16,51.29,-981.8,-2.7848654297673305
US.AMD,2016-05-23,2016-09-12,52.86,33787.78,42.976936696752915
US.NXPI,2016-09-12,2016-09-29,57.79,3044.61,14.885019223276622
US.MELI,2016-03-10,2016-10-13,59.84,45922.66,48.47572410732583
US.MDLZ,2016-10-26,2016-11-03,51.36,-1306.34,-2.4243114813261237
US.GOOG,2016-10-18,2016-11-04,53.13,-1968.05,-5.094988357802749
