,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,-3.5,9.84,-13.35,48248.51,96.0,28.1,-0.161,-0.184,-11.24,-0.313,0.48,0.496,-8.41
2016,9.42,7.22,2.2,52792.69,88.0,33.0,0.998,1.195,-7.26,1.308,1.05,0.396,6.62
2017,23.71,32.79,-9.08,65309.26,52.0,63.5,2.406,2.851,-5.0,4.797,8.23,0.744,-0.71
2018,1.84,-0.13,1.97,66512.67,89.0,20.2,0.205,0.265,-17.85,0.104,1.72,0.431,1.9
2019,5.01,39.16,-34.14,69848.0,82.0,31.7,0.62,0.768,-6.66,0.755,0.69,0.421,-11.51
2020,27.75,48.65,-20.9,89230.96,44.0,50.0,1.667,1.992,-12.14,2.285,2.97,0.275,14.39
2021,8.72,27.42,-18.7,97009.58,60.0,55.0,0.734,0.998,-8.3,1.06,1.86,0.616,-8.27
2022,-16.82,-32.58,15.76,80693.99,113.0,12.4,-2.173,-2.805,-21.89,-0.774,0.88,0.181,-11.02
2023,18.45,54.86,-36.41,95580.65,67.0,41.8,1.744,2.701,-7.73,2.416,2.98,0.493,-8.76
2024,8.26,25.75,-17.5,103471.93,42.0,42.9,0.817,1.059,-7.63,1.082,2.01,0.438,-3.04
2025,5.6,20.77,-15.17,109268.89,55.0,29.1,0.518,0.742,-9.2,0.61,1.24,0.313,-0.9
2026,15.94,16.27,-0.34,126682.86,30.0,46.7,1.524,1.939,-7.91,4.362,3.25,0.772,7.28
全期汇总,153.37,659.06,-505.69,126682.86,818.0,34.0,0.73,0.906,-22.61,0.372,,0.372,1.25
