,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,-3.14,9.84,-12.98,48429.13,79.0,26.6,-0.183,-0.211,-10.67,-0.295,0.47,0.465,-7.74
2016,10.59,7.22,3.37,53557.75,86.0,30.2,1.094,1.31,-5.68,1.882,1.13,0.415,7.66
2017,18.48,32.79,-14.31,63455.67,63.0,46.0,1.956,2.191,-5.01,3.733,3.6,0.748,-6.14
2018,2.65,-0.13,2.78,65136.95,77.0,26.0,0.26,0.335,-17.93,0.148,1.83,0.446,2.71
2019,9.32,39.16,-29.84,71206.21,72.0,34.7,0.975,1.191,-5.62,1.663,0.96,0.465,-8.92
2020,34.27,48.65,-14.38,95609.03,55.0,32.7,1.621,1.933,-13.23,2.591,3.1,0.314,18.99
2021,5.46,27.42,-21.96,100826.61,48.0,35.4,0.506,0.726,-7.69,0.716,1.2,0.534,-9.28
2022,-14.45,-32.58,18.12,86255.0,80.0,13.8,-1.429,-1.957,-20.12,-0.724,1.08,0.223,-7.26
2023,13.74,54.86,-41.12,98103.8,68.0,36.8,1.284,1.996,-8.34,1.666,2.05,0.525,-15.28
2024,13.97,25.75,-11.78,111812.27,27.0,51.9,1.338,1.83,-7.51,1.861,3.56,0.454,2.28
2025,-0.44,20.77,-21.21,111322.82,43.0,20.9,0.01,0.012,-10.36,-0.042,1.13,0.248,-5.61
2026,6.37,16.27,-9.9,118414.34,24.0,50.0,0.84,1.108,-8.13,1.622,2.29,0.621,-8.74
全期汇总,136.83,659.06,-522.23,118414.34,722.0,31.4,0.677,0.846,-20.57,0.378,,0.377,0.52
