,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,-3.41,9.84,-13.25,48294.72,111.0,29.7,-0.275,-0.329,-11.92,-0.287,0.46,0.461,-7.97
2016,9.43,7.22,2.21,52847.63,111.0,38.7,0.95,1.178,-7.45,1.276,1.13,0.438,6.32
2017,17.3,32.79,-15.5,61987.83,72.0,51.4,1.776,1.981,-5.14,3.404,3.7,0.787,-8.62
2018,3.91,-0.13,4.04,64412.84,100.0,28.0,0.35,0.453,-18.19,0.216,1.8,0.453,3.98
2019,10.4,39.16,-28.75,71113.22,100.0,37.0,1.183,1.435,-6.03,1.731,1.2,0.424,-6.23
2020,33.07,48.65,-15.58,94629.31,57.0,42.1,1.602,1.843,-13.56,2.438,3.06,0.319,17.57
2021,4.99,27.42,-22.43,99351.11,68.0,42.6,0.491,0.669,-9.44,0.533,1.21,0.544,-10.01
2022,-14.87,-32.58,17.71,84577.35,138.0,22.5,-1.435,-1.934,-20.15,-0.744,0.98,0.244,-6.98
2023,15.93,54.86,-38.92,98054.16,85.0,40.0,1.45,2.383,-8.12,1.987,2.41,0.53,-13.35
2024,34.15,25.75,8.39,131535.28,37.0,43.2,1.859,2.471,-10.36,3.296,1.94,0.612,18.39
2025,10.21,20.77,-10.56,144968.32,49.0,28.6,0.717,0.976,-18.27,0.561,3.08,0.335,3.25
2026,18.47,16.27,2.2,171743.18,23.0,43.5,1.674,2.269,-9.02,4.49,4.14,0.762,13.59
全期汇总,243.49,659.06,-415.57,171743.18,951.0,35.3,0.876,1.106,-20.45,0.554,,0.407,3.49
