code,date,reason,strength,still_present_in_experiment
US.AAPL,2022-07-29,SIGNAL,,False
US.QQQ,2020-03-10,QQQ_BETA_FLOOR,,True
US.QQQ,2020-04-08,QQQ_BETA_FLOOR,,True
US.QQQ,2026-06-05,QQQ_BETA_FLOOR,,True
US.MSFT,2015-10-02,SIGNAL,,False
US.MSFT,2016-07-20,SIGNAL,,False
US.MSFT,2016-10-21,SIGNAL,,False
US.MSFT,2016-12-13,SIGNAL,,False
US.MSFT,2021-10-27,SIGNAL,,False
US.MSFT,2023-04-26,SIGNAL,,False
US.MSFT,2023-10-25,SIGNAL,,False
US.NVDA,2015-08-07,SIGNAL,,False
US.NVDA,2023-02-23,SIGNAL,,False
US.NVDA,2023-05-25,SIGNAL,,False
US.AMZN,2015-07-13,SIGNAL,,False
US.AMZN,2016-04-29,SIGNAL,,False
US.AMZN,2020-04-13,SIGNAL,,False
US.AMZN,2023-06-22,SIGNAL,,False
US.AMZN,2025-10-31,SIGNAL,,False
US.GOOGL,2015-07-14,SIGNAL,,False
US.GOOGL,2016-07-29,SIGNAL,,False
US.GOOGL,2018-07-24,SIGNAL,,False
US.GOOGL,2023-01-20,SIGNAL,,False
US.TSLA,2020-02-03,SIGNAL,,False
US.TSLA,2020-04-13,SIGNAL,,False
US.SPY,2016-01-11,SIGNAL,,False
US.SPY,2018-10-12,SIGNAL,,False
