,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,0.48,9.84,-9.37,50237.96,131.0,23.7,0.098,0.122,-10.91,0.044,0.33,0.488,-4.34
2016,22.36,7.22,15.14,61470.37,136.0,16.9,1.511,2.11,-8.84,2.552,0.79,0.569,18.42
2017,19.07,32.79,-13.73,73189.82,90.0,27.8,1.747,2.025,-4.94,3.905,6.02,0.776,-6.48
2018,-1.77,-0.13,-1.64,71896.52,122.0,11.5,-0.058,-0.071,-19.48,-0.091,1.31,0.496,-1.71
2019,30.61,39.16,-8.55,93902.66,68.0,35.3,2.257,3.185,-5.71,5.379,1.75,0.592,7.45
2020,35.01,48.65,-13.64,126780.02,75.0,24.0,1.355,1.823,-20.3,1.725,1.25,0.54,8.76
2021,0.3,27.42,-27.12,127154.35,75.0,18.7,0.102,0.133,-14.78,0.02,4.2,0.814,-22.22
2022,-14.77,-32.58,17.81,108375.65,142.0,10.6,-1.686,-2.283,-20.67,-0.72,0.61,0.177,-9.08
2023,7.39,54.86,-47.47,116379.64,101.0,20.8,0.939,1.333,-8.94,0.835,1.7,0.34,-11.44
2024,23.64,25.75,-2.11,143894.65,55.0,16.4,1.704,2.295,-9.52,2.483,1.33,0.608,7.99
2025,26.15,20.77,5.38,181519.57,67.0,19.4,1.306,1.714,-18.44,1.422,2.78,0.61,13.51
2026,46.9,16.27,30.63,266653.84,31.0,12.9,2.36,3.344,-13.25,8.777,0.05,1.214,73.41
全期汇总,433.31,659.06,-225.75,266653.84,1093.0,19.3,0.986,1.229,-23.78,0.658,1.7,0.515,5.74
