date,victim_code,incoming_code,victim_ret_5d_pct,candidate_ret_5d_pct,victim_ret_10d_pct,candidate_ret_10d_pct,victim_ret_20d_pct,candidate_ret_20d_pct,victim_ret_60d_pct,candidate_ret_60d_pct
2015-05-14,US.EA,US.HON,-0.634,0.451,-0.531,-1.782,-0.539,-1.937,17.245,1.422
2015-08-04,US.IDXX,US.BKNG,5.146,1.86,6.739,0.611,-3.962,-5.345,-6.167,9.387
2015-10-05,US.COST,US.ADP,3.755,3.603,3.478,5.562,7.483,5.187,10.171,5.095
2015-10-08,US.XEL,US.ADP,2.366,0.999,4.59,5.369,1.69,2.185,2.475,-2.751
2015-10-14,US.AEP,US.ON,1.483,-4.097,-2.027,2.7,-3.817,4.516,2.268,-20.205
2015-10-16,US.AEP,US.ADBE,-1.975,-0.913,-3.522,-0.011,-5.457,0.395,-0.018,-0.417
2015-10-19,US.AEP,US.BKNG,-1.433,2.921,-3.165,6.617,-3.383,-7.94,2.126,-18.512
2016-02-22,US.CSCO,US.QCOM,-1.69,-0.026,1.915,4.915,5.858,2.769,0.99,2.336
2016-03-01,US.PCAR,US.FAST,-0.778,-0.278,1.397,0.749,3.712,4.775,5.976,-0.976
2016-03-03,US.PCAR,US.VRSK,-4.431,-0.538,1.71,1.366,0.292,5.305,3.508,4.084
2016-03-14,US.EXC,US.ISRG,0.68,-1.7,3.073,1.686,1.271,5.47,2.126,8.399
2017-01-19,US.TEAM,US.NFLX,1.276,0.397,2.626,0.571,6.346,2.601,14.843,6.387
2017-02-01,US.IDXX,US.MU,14.91,-2.182,15.423,-6.99,18.974,-0.202,36.588,11.798
2018-03-09,US.WDAY,US.KLAC,-1.671,-0.441,-7.252,-10.785,-10.413,-14.435,-6.474,-1.843
2019-01-18,US.MRVL,US.SNPS,8.768,0.175,10.012,6.635,14.396,11.335,42.662,27.588
2019-03-28,US.ADP,US.SBUX,0.612,0.527,2.084,2.582,3.366,4.719,6.438,13.626
2019-06-18,US.MDLZ,US.AMGN,1.713,1.558,1.217,2.77,1.105,-2.505,0.955,7.579
2019-06-19,US.MDLZ,US.ADBE,-1.107,-0.855,1.878,4.976,0.803,6.48,-1.33,-4.416
2019-09-10,US.ASML,US.ON,2.782,0.924,2.042,-3.441,0.177,-12.07,12.583,9.861
2020-05-08,US.OKTA,US.TMUS,7.215,-1.218,13.644,-2.761,9.299,6.029,29.525,10.018
2020-05-15,US.OKTA,US.NVDA,5.997,6.307,12.764,3.716,3.221,8.093,8.029,27.844
2020-05-26,US.OKTA,US.CTAS,8.449,0.898,-2.226,11.942,6.217,7.842,11.468,26.024
2020-06-19,US.OKTA,US.REGN,2.674,-5.057,4.576,-2.589,7.594,2.219,-2.407,-9.942
2020-06-22,US.OKTA,US.ADBE,0.326,-3.292,4.092,2.444,6.085,1.286,-3.027,8.517
2020-06-23,US.OKTA,US.AAPL,2.357,-0.472,12.35,4.049,7.77,6.155,-0.368,20.633
2020-07-02,US.OKTA,US.FAST,5.28,-2.293,-0.183,0.363,6.363,7.399,2.681,4.499
2020-07-07,US.OKTA,US.COST,-0.285,3.722,1.915,3.64,5.812,7.681,3.14,12.502
2020-07-08,US.OKTA,US.CRWD,-7.157,-9.952,-4.077,-9.463,1.72,0.175,-0.218,24.723
