date,reason,code,total_score,price,occupied_slots,observation_occupied,observation_occupancy_pct
2015-03-20,MAX_POSITIONS,US.ADI,92.5,48.813275061,10,1,10.0
2015-04-10,MAX_POSITIONS,US.ISRG,100.0,58.927709839,10,2,20.0
2015-04-10,MAX_POSITIONS,US.DXCM,100.0,16.9725,10,2,20.0
2015-04-13,MAX_POSITIONS,US.ISRG,86.5,60.255461051,10,1,10.0
2015-04-21,MAX_POSITIONS,US.PCAR,100.0,29.011443267,10,4,40.0
2015-04-21,MAX_POSITIONS,US.PANW,98.84,25.728075895,10,4,40.0
2015-04-21,MAX_POSITIONS,US.DXCM,85.35,17.5825,10,4,40.0
2015-04-22,MAX_POSITIONS,US.TSLA,100.0,14.62918704,10,3,30.0
2015-04-22,MAX_POSITIONS,US.TMUS,100.0,32.600060755,10,3,30.0
2015-04-24,MAX_POSITIONS,US.SBUX,100.0,41.220856817,10,2,20.0
2015-04-24,MAX_POSITIONS,US.MSFT,100.0,40.912797752,10,2,20.0
2015-04-27,MAX_POSITIONS,US.TSLA,100.0,15.4365123,10,2,20.0
2015-04-27,MAX_POSITIONS,US.AAPL,96.25,29.46872664,10,2,20.0
2015-04-27,MAX_POSITIONS,US.BKNG,96.02,49.085327574,10,2,20.0
2015-04-29,MAX_POSITIONS,US.VRSK,100.0,73.064522623,10,2,20.0
2015-05-14,MAX_POSITIONS,US.ADBE,100.0,79.43,10,6,60.0
2015-05-14,MAX_POSITIONS,US.HON,85.36,81.296809301,10,6,60.0
2015-05-20,MAX_POSITIONS,US.ADI,100.0,52.897700074,10,5,50.0
2015-05-22,MAX_POSITIONS,US.INTU,100.0,97.657103795,10,4,40.0
2015-05-27,MAX_POSITIONS,US.NXPI,96.78,97.544811522,10,5,50.0
2015-05-27,MAX_POSITIONS,US.ADI,92.75,54.912797212,10,5,50.0
2015-05-27,MAX_POSITIONS,US.AVGO,100.0,10.661217559,10,5,50.0
2015-06-17,MAX_POSITIONS,US.DXCM,85.94,18.7425,10,4,40.0
2015-06-18,MAX_POSITIONS,US.DXCM,99.57,19.35,10,4,40.0
2015-06-18,MAX_POSITIONS,US.CMCSA,91.57,21.374919256,10,4,40.0
2015-06-18,MAX_POSITIONS,US.SBUX,86.3,43.162762026,10,4,40.0
2015-06-18,MAX_POSITIONS,US.FAST,81.5,8.113722555,10,4,40.0
2015-06-22,MAX_POSITIONS,US.ADBE,100.0,82.28,10,4,40.0
2015-06-22,MAX_POSITIONS,US.META,100.0,84.002331012,10,4,40.0
2015-06-23,MAX_POSITIONS,US.META,100.0,87.114997042,10,4,40.0
2015-06-23,MAX_POSITIONS,US.VRTX,82.55,131.62,10,4,40.0
2015-06-26,MAX_POSITIONS,US.DXCM,80.23,19.9,10,3,30.0
2015-07-01,MAX_POSITIONS,US.CMCSA,91.5,22.09061131,10,4,40.0
2015-07-07,MAX_POSITIONS,US.XEL,100.0,24.069406058,10,4,40.0
2015-07-13,MAX_POSITIONS,US.AMZN,100.0,22.7785,10,4,40.0
2015-07-13,MAX_POSITIONS,US.SBUX,100.0,44.43108196,10,4,40.0
2015-07-13,MAX_POSITIONS,US.ROST,100.0,46.965953884,10,4,40.0
2015-07-13,MAX_POSITIONS,US.ORLY,93.09,15.988000079,10,4,40.0
2015-07-14,MAX_POSITIONS,US.GOOG,100.0,27.809807716,10,4,40.0
2015-07-14,MAX_POSITIONS,US.AMZN,91.4,23.2785,10,4,40.0
2015-07-16,MAX_POSITIONS,US.INTU,93.89,99.122089069,10,3,30.0
2015-07-16,MAX_POSITIONS,US.TTWO,84.68,29.95,10,3,30.0
2015-07-17,MAX_POSITIONS,US.AMZN,85.61,24.1505,10,3,30.0
2015-07-17,MAX_POSITIONS,US.TTWO,100.0,31.14,10,3,30.0
2015-07-17,MAX_POSITIONS,US.BKNG,100.0,47.628278272,10,3,30.0
2015-07-17,MAX_POSITIONS,US.META,100.0,94.143277982,10,3,30.0
