code,v20_entry_date,v22_entry_date,delay_trading_days,v20_price,v22_price,slippage_pct,v20_pnl
US.MU,2025-09-05,2025-09-05,0,131.179660108,131.179660108,0.0,14462.69
US.AMD,2018-04-26,2018-04-26,0,11.04,11.04,0.0,4874.78
US.TSLA,2020-04-13,2020-04-13,0,43.3962327,43.3962327,0.0,4592.82
US.AMD,2025-06-24,2025-07-16,15,138.43,160.08,15.64,4585.96
US.NVDA,2016-05-16,2016-05-16,0,1.031613974,1.031613974,0.0,4114.75
US.ALGN,2017-03-13,2017-03-13,0,107.99,107.99,0.0,3880.28
US.NVDA,2023-03-16,2023-03-16,0,25.488701992,25.488701992,0.0,3845.6
US.CRWD,2023-10-06,2023-10-06,0,44.1725,44.1725,0.0,3822.42
US.AVGO,2025-04-25,2025-04-25,0,190.462878411,190.462878411,0.0,2801.74
US.ORLY,2024-07-25,2024-07-25,0,72.86066703,72.86066703,0.0,2733.03
US.ROST,2025-11-21,2025-11-21,0,172.89738897,172.89738897,0.0,2701.79
US.NFLX,2023-10-19,2023-10-19,0,40.177,40.177,0.0,2452.89
US.FANG,2021-09-27,2021-10-04,5,78.115891382,84.5791878,8.27,2186.66
US.AMZN,2020-04-13,2020-04-13,0,108.4435,108.4435,0.0,1924.76
US.TTD,2020-04-23,2020-04-23,0,25.397,25.397,0.0,1763.53
US.CPRT,2023-01-25,2023-01-25,0,32.965,32.965,0.0,1712.51
US.AVGO,2023-12-12,2023-12-12,0,103.992373654,103.992373654,0.0,1652.27
US.AAPL,2025-08-07,2025-08-07,0,219.160533412,219.160533412,0.0,1618.2
US.NVDA,2015-09-30,2015-09-30,0,0.598272779,0.598272779,0.0,1590.52
US.ORLY,2018-04-26,2018-04-26,0,17.160000085,17.160000085,0.0,1551.74
US.CEG,2025-04-25,2025-04-25,0,221.522396443,221.522396443,0.0,1444.89
US.SBUX,2020-08-25,2020-08-25,0,72.666861875,72.666861875,0.0,1367.78
US.AEP,2024-07-11,2024-07-11,0,84.860933546,84.860933546,0.0,1180.59
US.NFLX,2015-04-13,2015-04-13,0,6.7808038,6.7808038,0.0,1150.31
US.VRSK,2021-07-07,2021-07-07,0,176.028817149,176.028817149,0.0,1059.47
US.ZS,2025-04-25,2025-04-25,0,215.58,215.58,0.0,1019.65
US.AMAT,2016-05-20,2016-05-20,0,20.230149074,20.230149074,0.0,998.63
US.NFLX,2020-04-13,2020-04-13,0,39.672,39.672,0.0,989.72
US.AMAT,2020-11-19,2020-11-19,0,73.794199929,73.794199929,0.0,975.87
US.ISRG,2022-10-19,2022-10-19,0,211.14,211.14,0.0,907.65
US.CDNS,2018-04-24,2018-04-24,0,40.09,40.09,0.0,905.59
US.GOOGL,2021-02-03,2021-02-03,0,102.039192241,102.039192241,0.0,894.08
US.COST,2026-01-08,2026-01-08,0,912.736842084,912.736842084,0.0,821.82
US.IDXX,2016-04-29,2016-04-29,0,84.35,84.35,0.0,799.68
US.BKR,2020-10-30,2020-10-30,0,12.758323548,12.758323548,0.0,716.37
US.MELI,2020-05-06,2020-05-06,0,742.88,742.88,0.0,691.44
US.MSFT,2015-10-02,2015-10-02,0,39.458683584,39.458683584,0.0,685.67
US.PANW,2023-01-26,2023-01-26,0,79.555,79.555,0.0,673.21
US.COST,2023-12-05,2023-12-05,0,583.75307515,583.75307515,0.0,660.84
US.NXPI,2024-04-30,2024-04-30,0,246.215327405,246.215327405,0.0,624.18
US.CDNS,2017-07-25,2017-07-25,0,36.64,36.64,0.0,602.8
US.CPRT,2021-06-21,2021-06-21,0,32.93,32.93,0.0,594.33
US.MNST,2017-05-08,2017-05-08,0,24.24,24.24,0.0,562.78
US.ISRG,2023-04-11,2023-04-11,0,262.77,262.77,0.0,558.65
US.KLAC,2017-01-25,2017-01-25,0,7.24516457,7.24516457,0.0,557.44
US.KLAC,2019-08-29,2019-08-29,0,13.510040302,13.510040302,0.0,550.45
US.MDLZ,2026-01-14,2026-01-14,0,56.267111488,56.267111488,0.0,548.09
US.BKR,2022-10-18,2022-10-19,1,22.216554814,23.56718904,6.08,544.84
US.META,2021-03-19,2021-03-19,0,287.5845675,287.5845675,0.0,529.41
US.ORLY,2021-03-05,2021-03-05,0,31.056666821,31.056666821,0.0,527.75
