REPLACEMENT_MARGIN,总收益%,年化收益%,Sharpe,Sortino,Calmar,最大回撤%,交易次数,胜率%,平均持仓天数,Replacement Attempts,Replacement Success,Replacement Blocked,Replacement Rolled Back（非margin原因，敞口/板块/qty<=0）,Blocked Ratio%,Average Score Difference
6.0,243.49,11.33,0.876,1.106,0.554,-20.45,951,35.3,35.76,205,121,0,84,0.0,48.17
8.0,243.49,11.33,0.876,1.106,0.554,-20.45,951,35.3,35.76,205,121,0,84,0.0,48.17
10.0,243.49,11.33,0.876,1.106,0.554,-20.45,951,35.3,35.76,205,121,0,84,0.0,48.17
12.0,243.49,11.33,0.876,1.106,0.554,-20.45,951,35.3,35.76,205,121,0,84,0.0,48.17
15.0,243.49,11.33,0.876,1.106,0.554,-20.45,951,35.3,35.76,205,121,0,84,0.0,48.17
20.0,243.49,11.33,0.876,1.106,0.554,-20.45,951,35.3,35.76,205,121,0,84,0.0,48.17
25.0,243.49,11.33,0.876,1.106,0.554,-20.45,951,35.3,35.76,205,121,0,84,0.0,48.17
30.0,191.68,9.76,0.784,0.967,0.457,-21.34,948,35.9,35.66,211,123,4,84,1.9,46.0
35.0,146.15,8.15,0.704,0.877,0.332,-24.5,974,35.8,35.64,238,126,25,87,10.5,46.46
40.0,210.93,10.37,0.816,1.036,0.488,-21.25,944,35.8,36.03,235,118,58,59,24.7,44.23
45.0,228.89,10.91,0.888,1.146,0.516,-21.15,925,35.9,37.59,503,108,361,34,71.8,42.68
50.0,148.04,8.22,0.716,0.902,0.383,-21.43,911,34.6,38.98,675,72,547,56,81.0,45.09
55.0,165.99,8.88,0.762,0.957,0.434,-20.43,846,34.3,41.81,675,28,616,31,91.3,47.78
60.0,153.37,8.42,0.73,0.906,0.372,-22.61,818,34.0,43.45,753,0,753,0,100.0,51.06
65.0,153.37,8.42,0.73,0.906,0.372,-22.61,818,34.0,43.45,753,0,753,0,100.0,51.06
70.0,153.37,8.42,0.73,0.906,0.372,-22.61,818,34.0,43.45,753,0,753,0,100.0,51.06
