config,window,总收益%,年化收益%,Sharpe,Sortino,Calmar,最大回撤%,交易次数,胜率%,平均持仓天数,Replacement Success,Replacement Blocked,Replacement Rolled Back,Replace Alpha 均值%,Replace Alpha 中位数%,Replace Alpha 胜率%,Replace Alpha n
baseline,full_2015_2026,243.49,11.33,0.876,1.106,0.554,-20.45,951,35.3,35.76,121,0,84,-0.814,-2.37,34.7,121
pool_size,full_2015_2026,197.84,9.96,0.841,1.086,0.461,-21.59,872,34.5,40.46,55,0,0,-2.137,-3.906,34.5,55
new_score,full_2015_2026,245.88,11.4,0.886,1.112,0.564,-20.2,901,35.1,37.45,106,0,54,0.42,-1.667,34.0,106
same_sector,full_2015_2026,214.42,10.48,0.831,1.05,0.495,-21.16,931,35.3,35.92,115,0,70,0.685,-2.96,33.9,115
pool+score,full_2015_2026,140.84,7.95,0.714,0.896,0.352,-22.56,881,34.1,39.64,57,0,0,0.132,-3.33,40.4,57
pool+sector,full_2015_2026,199.36,10.01,0.839,1.076,0.471,-21.24,868,34.2,40.73,52,0,0,-1.656,-3.046,40.4,52
score+sector,full_2015_2026,251.03,11.54,0.926,1.172,0.634,-18.2,837,36.1,39.5,91,0,28,1.77,-2.258,37.4,91
pool+score+sector,full_2015_2026,147.74,8.21,0.733,0.92,0.363,-22.59,871,34.4,40.07,55,0,0,-0.079,-3.33,40.0,55
baseline,recent_2019_2026,133.05,11.95,0.874,1.109,0.513,-23.25,617,37.8,37.81,95,0,47,-0.975,-2.233,36.8,95
pool_size,recent_2019_2026,154.45,13.27,0.953,1.216,0.645,-20.56,521,33.6,43.21,21,0,29,-1.369,-1.63,38.1,21
new_score,recent_2019_2026,194.5,15.5,0.999,1.277,0.684,-22.65,587,35.8,38.05,82,0,34,-0.395,-2.816,32.9,82
same_sector,recent_2019_2026,180.03,14.72,0.999,1.283,0.653,-22.52,609,36.0,37.0,97,0,45,-0.164,-1.655,36.1,97
pool+score,recent_2019_2026,199.25,15.75,1.08,1.388,0.763,-20.62,491,34.2,44.91,18,0,4,7.737,1.244,61.1,18
pool+sector,recent_2019_2026,146.64,12.8,0.922,1.182,0.616,-20.76,524,32.6,42.85,20,0,24,-2.323,-2.569,35.0,20
score+sector,recent_2019_2026,146.42,12.78,0.926,1.191,0.589,-21.67,586,35.8,39.4,75,0,42,0.487,-3.507,38.7,75
pool+score+sector,recent_2019_2026,139.47,12.35,0.908,1.142,0.586,-21.07,523,34.2,43.76,20,0,6,4.698,-0.696,40.0,20
