date,victim_code,incoming_code,window_end,still_open_at_backtest_end,replace_return_pct,keep_return_pct,replace_alpha_pct
2015-04-10,US.WDAY,US.ISRG,2015-04-27,False,-5.626,-1.048,-4.578
2015-04-16,US.GILD,US.NFLX,2015-08-24,False,20.664,-2.245,22.91
2015-04-21,US.MELI,US.PCAR,2015-04-29,False,-0.719,4.399,-5.118
2015-04-22,US.AMZN,US.MU,2015-04-30,False,-5.0,8.204,-13.204
2015-05-14,US.HON,US.ADBE,2015-05-26,False,-0.082,-1.12,1.039
2015-05-20,US.PEP,US.ADI,2015-07-07,False,-5.0,-0.593,-4.407
2015-05-22,US.EA,US.INTU,2015-06-29,False,-5.377,5.85,-11.227
2015-05-27,US.PANW,US.AVGO,2015-06-29,False,-6.605,6.972,-13.576
2015-07-07,US.AMAT,US.AEP,2015-07-14,False,-1.74,-1.461,-0.279
2015-08-13,US.AEP,US.ORLY,2015-08-21,False,-6.203,-0.494,-5.709
2015-10-21,US.COST,US.KLAC,2016-01-15,False,0.869,-2.855,3.724
2015-12-01,US.PANW,US.MRVL,2015-12-07,False,-5.0,1.646,-6.646
2015-12-22,US.WDAY,US.AMD,2016-01-04,False,-5.0,-1.868,-3.132
2016-02-25,US.HON,US.CPRT,2016-03-28,False,6.117,7.786,-1.669
2016-03-01,US.CSCO,US.WDAY,2016-05-27,False,5.98,8.776,-2.796
2016-03-04,US.PAYX,US.AVGO,2016-05-06,False,-3.831,-0.475,-3.357
2016-03-14,US.PCAR,US.AMD,2016-03-15,False,-8.456,-0.606,-7.849
2016-03-29,US.META,US.ON,2016-04-12,False,-5.0,-4.761,-0.239
2016-04-29,US.META,US.MNST,2016-08-12,False,11.76,6.209,5.551
2016-05-11,US.CTAS,US.EA,2016-06-30,False,3.243,7.316,-4.073
2016-11-09,US.HON,US.GILD,2016-11-17,False,-3.683,1.362,-5.045
2017-02-02,US.IDXX,US.SNPS,2017-04-07,False,11.343,11.8,-0.457
2017-06-16,US.DXCM,US.CTAS,2017-06-29,False,-5.0,-3.921,-1.079
2017-06-21,US.VRSK,US.GILD,2017-10-27,False,13.259,1.047,12.212
2017-07-14,US.TTWO,US.ASML,2017-12-04,False,22.761,33.985,-11.224
