feature,n,pearson_r,spearman_rho,mutual_info_bits
n_observation_pool_size,503,-0.0745,-0.1307,0.0158
new_score,503,0.1006,0.1102,0.0105
victim_recent_vol_20d,503,-0.0298,-0.0893,0.0305
score_difference,503,0.0866,0.0893,0.0528
victim_recent_return_20d,503,0.0808,0.0849,0.0665
victim_holding_days,503,0.0203,0.0538,0.0486
month,503,-0.0782,-0.0407,0.0441
candidate_recent_vol_20d,503,-0.0029,0.0243,0.0437
victim_atr_pct,503,0.0151,-0.0231,0.0476
candidate_recent_return_20d,503,0.0501,0.0221,0.0306
old_score,503,-0.0211,0.0169,0.0449
day_of_week,503,0.0111,0.0116,0.0168
