date,day_idx,replacement_from,replacement_to,victim_score,incoming_score,score_delta,holding_days_before_replacement,victim_pnl,replacement_type,replacement_stability_score,incoming_final_pnl,incoming_closed
2015-03-20,53,US.FTNT,US.ADI,42.65,92.5,49.85,2,5.95,OBSERVATION_EVICT,,-88.4,True
2015-04-10,67,US.WDAY,US.ISRG,49.55,100.0,50.45,4,0.67,OBSERVATION_EVICT,,-114.62,True
2015-04-10,67,US.VRSK,US.DXCM,51.14,100.0,48.86,5,2.95,OBSERVATION_EVICT,,373.22,True
2015-04-13,68,US.INTU,US.NFLX,61.97,100.0,38.03,19,-29.26,LOW_PARTIAL_EVICT,0.46978180878519504,773.63,True
2015-04-21,74,US.MELI,US.PANW,46.69,98.84,52.15,1,19.52,OBSERVATION_EVICT,,-58.6,True
2015-04-22,75,US.AMZN,US.MU,48.87,100.0,51.13,2,-0.22,OBSERVATION_EVICT,,-108.46,True
2015-04-22,75,US.FANG,US.TSLA,64.26,100.0,35.74,18,124.94,LOW_PARTIAL_EVICT,0.3399080875728008,465.56,True
2015-04-22,75,US.MDLZ,US.TMUS,64.71,100.0,35.29,12,-11.99,LOW_PARTIAL_EVICT,0.29391430935221285,-5.22,True
2015-05-14,91,US.HON,US.ADBE,42.41,100.0,57.59,1,15.91,OBSERVATION_EVICT,,-6.5,True
2015-05-20,95,US.PEP,US.ADI,46.84,100.0,53.16,3,-4.01,OBSERVATION_EVICT,,-132.06,True
2015-05-21,96,US.EA,US.TMUS,47.55,89.58,42.03,11,24.71,OBSERVATION_EVICT,,41.02,True
2015-05-27,99,US.PANW,US.NXPI,45.29,96.78,51.49,1,-13.96,OBSERVATION_EVICT,,-153.83,True
2015-06-17,114,US.TXN,US.AMD,41.85,100.0,58.15,6,1.43,OBSERVATION_EVICT,,-132.87,True
2015-07-01,124,US.AMAT,US.CMCSA,44.89,91.5,46.61,1,3.56,OBSERVATION_EVICT,,-168.75,True
2015-07-07,127,US.QCOM,US.AEP,50.96,100.0,49.04,4,0.39,OBSERVATION_EVICT,,-23.72,True
2015-08-13,154,US.IDXX,US.ORLY,45.43,100.0,54.57,8,26.22,OBSERVATION_EVICT,,-185.46,True
