date,day_idx,replacement_type,would_be_victim,would_be_victim_score,would_be_victim_entry_date,would_be_victim_entry_day_idx,would_be_victim_mtm_pnl_at_review,incoming_code,incoming_score,stability_score,final_pnl,foregone_gain_from_review_point,still_held_at_end
2015-03-20,53,OBSERVATION_EVICT,US.FTNT,42.65,2015-03-18,51,6.44,US.ADI,92.5,,-24.96,-31.400000000000002,False
2015-03-20,53,LOW_PARTIAL_EVICT,US.INTU,61.97,2015-03-16,49,22.99,US.ADI,92.5,0.09890143342846212,24.26,1.2700000000000031,False
2015-04-10,67,OBSERVATION_EVICT,US.WDAY,49.55,2015-04-06,63,1.2,US.ISRG,100.0,,-7.9,-9.1,False
2015-04-13,68,OBSERVATION_EVICT,US.VRSK,51.14,2015-04-02,62,1.54,US.ISRG,86.5,,0.78,-0.76,False
2015-04-21,74,OBSERVATION_EVICT,US.MELI,46.69,2015-04-20,73,20.33,US.PCAR,100.0,,84.14,63.81,False
2015-05-14,91,OBSERVATION_EVICT,US.CTAS,43.26,2015-05-13,90,11.15,US.ADBE,100.0,,12.65,1.5,False
2015-05-14,91,LOW_PARTIAL_EVICT,US.FANG,64.26,2015-03-26,57,8.66,US.ADBE,100.0,0.37767565285866755,73.27,64.61,False
2015-06-17,114,OBSERVATION_EVICT,US.PANW,45.29,2015-05-26,98,84.0,US.DXCM,85.94,,39.85,-44.15,False
2015-06-17,114,LOW_PARTIAL_EVICT,US.MDLZ,64.71,2015-04-06,63,220.64,US.DXCM,85.94,0.4898571822536881,295.31,74.67000000000002,False
2015-07-01,124,OBSERVATION_EVICT,US.AMAT,44.89,2015-06-30,123,4.07,US.CMCSA,91.5,,-19.21,-23.28,False
2015-08-10,151,OBSERVATION_EVICT,US.EA,47.55,2015-05-06,85,227.79,US.TXN,88.92,,79.21,-148.57999999999998,False
2015-10-05,190,OBSERVATION_EVICT,US.COST,43.17,2015-09-23,182,24.3,US.ADP,80.05,,110.13,85.83,False
2015-10-08,193,LOW_PARTIAL_EVICT,US.MSFT,69.92,2015-10-02,189,87.91,US.MDLZ,88.4,0.10000065439691917,487.18,399.27,False
2015-11-05,213,FULL_DOWNGRADE_REPLACE,US.BKNG,85.81,2015-10-30,209,9.21,US.META,100.0,0.12592578954629235,-158.37,-167.58,False
2015-11-20,224,OBSERVATION_EVICT,US.XEL,51.09,2015-09-24,183,58.63,US.INTU,100.0,,48.37,-10.260000000000005,False
2015-11-20,224,LOW_PARTIAL_EVICT,US.AMAT,62.3,2015-11-13,219,84.73,US.INTU,100.0,0.10767515018755076,-30.19,-114.92,False
2015-12-22,245,OBSERVATION_EVICT,US.WDAY,45.36,2015-12-14,239,0.48,US.AMD,100.0,,-9.35,-9.83,False
2016-02-19,284,OBSERVATION_EVICT,US.HON,43.89,2016-02-16,281,19.7,US.AMAT,87.4,,85.08,65.38,False
2016-02-19,284,LOW_PARTIAL_EVICT,US.INTU,66.49,2016-02-17,282,-29.15,US.AMAT,87.4,0.04287159923041401,-67.42,-38.27,False
2016-03-01,291,LOW_PARTIAL_EVICT,US.CPRT,62.22,2016-02-26,289,53.57,US.WDAY,100.0,0.04264383266537765,113.81,60.24,False
2016-03-29,310,LOW_PARTIAL_EVICT,US.AVGO,61.37,2016-03-22,306,-5.72,US.ON,100.0,0.08027977934692744,-69.95,-64.23,False
2016-04-29,333,LOW_PARTIAL_EVICT,US.FANG,65.98,2016-04-27,331,-28.62,US.MNST,100.0,0.041110878616566114,-69.39,-40.769999999999996,False
2016-05-31,354,OBSERVATION_EVICT,US.AMD,52.86,2016-05-23,349,70.49,US.NXPI,82.66,,230.92,160.43,False
2016-06-02,356,FULL_DOWNGRADE_REPLACE,US.CDNS,87.12,2016-05-20,348,17.82,US.TEAM,100.0,0.2660075547544548,-148.8,-166.62,False
2016-06-30,376,LOW_PARTIAL_EVICT,US.AEP,61.73,2016-06-27,373,56.94,US.INTU,100.0,0.07508313408046739,-82.89,-139.82999999999998,False
2016-07-28,395,LOW_PARTIAL_EVICT,US.ASML,66.67,2016-07-14,385,93.23,US.TEAM,90.38,0.23029478913771315,-17.71,-110.94,False
2016-08-15,407,FULL_DOWNGRADE_REPLACE,US.ROST,82.04,2016-08-12,406,2.73,US.MU,100.0,0.03264115249891804,1.2,-1.53,False
2016-09-14,428,OBSERVATION_EVICT,US.NXPI,57.79,2016-09-12,426,1.13,US.AAPL,85.17,,21.75,20.62,False
2016-09-14,428,LOW_PARTIAL_EVICT,US.FAST,65.94,2016-09-12,426,-5.25,US.AAPL,85.17,0.05082284108107308,-29.4,-24.15,False
2016-09-29,439,OBSERVATION_EVICT,US.MELI,59.84,2016-03-10,298,422.17,US.QCOM,100.0,,328.02,-94.15000000000003,False
2016-10-21,455,OBSERVATION_EVICT,US.GOOGL,43.58,2016-10-18,452,1.02,US.MSFT,100.0,,-16.59,-17.61,False
2016-11-09,468,OBSERVATION_EVICT,US.HON,48.89,2016-11-07,466,4.79,US.GILD,100.0,,25.16,20.37,False
2016-11-09,468,LOW_PARTIAL_EVICT,US.PEP,65.06,2016-11-08,467,-18.53,US.GILD,100.0,0.028286075215035397,-70.25,-51.72,False
2016-11-15,472,LOW_PARTIAL_EVICT,US.CMCSA,67.33,2016-11-14,471,-5.58,US.ADI,98.12,0.025200505100418515,158.63,164.21,False
2016-11-17,474,FULL_DOWNGRADE_REPLACE,US.SBUX,81.17,2016-11-16,473,13.36,US.AMD,100.0,0.031021077820052586,63.29,49.93,False
2016-12-07,487,LOW_PARTIAL_EVICT,US.AMD,66.07,2016-12-06,486,16.94,US.TMUS,100.0,0.01345978444158485,-2.92,-19.86,False
2016-12-08,488,FULL_DOWNGRADE_REPLACE,US.CTAS,86.97,2016-12-05,485,40.43,US.COST,100.0,0.10916601709194564,-33.25,-73.68,False
2017-01-19,515,OBSERVATION_EVICT,US.TEAM,53.28,2017-01-18,514,3.08,US.NFLX,89.33,,90.83,87.75,False
2017-02-01,524,OBSERVATION_EVICT,US.IDXX,48.65,2017-01-31,523,1.41,US.MU,80.82,,107.2,105.79,False
2017-02-01,524,LOW_PARTIAL_EVICT,US.EA,61.29,2017-01-30,522,-13.04,US.MU,80.82,0.048433902181053964,-21.93,-8.89,False
2017-02-15,534,FULL_DOWNGRADE_REPLACE,US.CSCO,88.5,2017-02-14,533,30.95,US.ADI,100.0,0.03773343416936246,-99.89,-130.84,False
2017-05-10,592,LOW_PARTIAL_EVICT,US.MNST,62.43,2017-05-08,590,-48.82,US.NVDA,100.0,0.04841600686117099,577.69,626.5100000000001,False
2017-06-16,618,OBSERVATION_EVICT,US.DXCM,45.57,2017-06-13,615,37.84,US.CTAS,98.19,,-40.81,-78.65,False
2017-06-16,618,LOW_PARTIAL_EVICT,US.AMGN,60.39,2017-06-09,613,-32.5,US.CTAS,98.19,0.1256061730322558,68.95,101.45,False
2017-07-18,639,OBSERVATION_EVICT,US.TTWO,43.75,2017-07-11,634,17.27,US.NFLX,100.0,,287.19,269.92,False
2017-07-26,645,FULL_DOWNGRADE_REPLACE,US.META,88.97,2017-07-12,635,152.99,US.EA,100.0,0.3442077345025774,270.84,117.84999999999997,False
